old_url,path,category,action,destination
https://www.lucasanna.eu/portfolio/realizzazione-logo-premio-arte/,/portfolio/realizzazione-logo-premio-arte/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/sardegna-non-solo-eventi/,/portfolio/sardegna-non-solo-eventi/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/satollo-marlow/,/portfolio/satollo-marlow/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/soluzioni-digitali-intuitive-per-la-chiaroveggenza-estrella-yoruba-tarot/,/portfolio/soluzioni-digitali-intuitive-per-la-chiaroveggenza-estrella-yoruba-tarot/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/top-wild-viaggi-avventurosi-per-giovani-backpackers/,/portfolio/top-wild-viaggi-avventurosi-per-giovani-backpackers/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/portfolio/valeriachelo-psicologa-sassari/,/portfolio/valeriachelo-psicologa-sassari/,PORTFOLIO,REVIEW,TODO
https://www.lucasanna.eu/privacy-policy/,/privacy-policy/,UTILITY,KEEP,/privacy-policy/
https://www.lucasanna.eu/realizzazione-siti-web-sardegna/,/realizzazione-siti-web-sardegna/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/servizi/,/servizi/,COMMERCIALE,REDIRECT,https://www.lswebagency.com/
https://www.lucasanna.eu/web-design-reponsive/,/web-design-reponsive/,ALTRO,REVIEW,
